asylum inrichting
autograph handtekening
automobile wagen
bird vogel
boy jongen
brother broeder
car auto
cemetery begraafplaats
cock kip
cord koord
chord akkoord
coast kust
crane ezel
cushion bed
food voedsel
forest bos
fruit fruit
furnace oven
gem edelsteen
glass glas
graveyard kerkhof
grin grijns
hill berg
implement werktuig
jewel juweel
journey tocht
lad knul
madhouse gekkenhuis
magician magiër
midday ochtend
monk monnik
mound heuvel
noon morgen
oracle orakel
pillow nest
rooster hen
sage wijsgeer
serf lijfeigene
shore oever
signature signatuur
slave slaaf
smile glimlach
stove fornuis
string draadje
tool gereedschap
tumbler drinkbeker
voyage reis
wizard tovenaar
woodland woud
