word-1	word-2	GS_value	Similar by path	LCS path	Similar by L&C	LCS L&C	Similar by W&P	LCS W&P	Similar by R	LCS R	Similar by L	LCS L	Similar by J&C	LCS J&C
car	automobile	3.92	1.0	eng-30-02958343-n	3.4011973816621555	eng-30-02958343-n	1.0	eng-30-02958343-n	7.003585913846818	eng-30-02958343-n	1.286766995E8	eng-30-02958343-n	1.286766995E8	eng-30-02958343-n
gem	jewel	3.84	1.0	eng-30-03596787-n	3.4011973816621555	eng-30-03596787-n	1.0	eng-30-03596787-n	9.81984969958926	eng-30-03596787-n	1.286766995E8	eng-30-03596787-n	1.286766995E8	eng-30-03596787-n
journey	voyage	3.84	0.5	eng-30-00306426-n	2.70805020110221	eng-30-00306426-n	0.9523809523809523	eng-30-00306426-n	7.758426663412103	eng-30-01845720-v	0.8276818213211407	eng-30-00295701-n	0.3533884661459109	eng-30-00295701-n
boy	lad	3.76	0.5	eng-30-10285313-n	2.70805020110221	eng-30-10285313-n	0.9473684210526315	eng-30-10285313-n	6.741879327798298	eng-30-10285313-n	0.7979404698129293	eng-30-10285313-n	0.29287357108779505	eng-30-10285313-n
coast	shore	3.70	0.5	eng-30-09433442-n	2.70805020110221	eng-30-09433442-n	0.9090909090909091	eng-30-09433442-n	8.102198202514929	eng-30-09433442-n	0.9632037579820005	eng-30-09433442-n	1.6154065629778043	eng-30-09433442-n
asylum	madhouse	3.61	0.5	eng-30-03746574-n	2.70805020110221	eng-30-03746574-n	0.9523809523809523	eng-30-03746574-n	10.667147559976465	eng-30-03746574-n	0.9813491453514377	eng-30-03746574-n	2.4663034623764357	eng-30-03746574-n
magician	wizard	3.50	1.0	eng-30-10625860-n	3.4011973816621555	eng-30-10625860-n	1.0	eng-30-10625860-n	11.072612668084629	eng-30-10625860-n	1.286766995E8	eng-30-10625860-n	1.286766995E8	eng-30-10625860-n
midday	noon	3.42	1.0	eng-30-15165490-n	3.4011973816621555	eng-30-15165490-n	1.0	eng-30-15165490-n	9.568535271308354	eng-30-15165490-n	1.286766995E8	eng-30-15165490-n	1.286766995E8	eng-30-15165490-n
furnace	stove	3.11	0.1	eng-30-00021939-n	1.0986122886681098	eng-30-00021939-n	0.5263157894736842	eng-30-00021939-n	2.493384085748939	eng-30-00021939-n	0.22938469050183416	eng-30-00021939-n	0.05969082994987968	eng-30-00021939-n
food	fruit	3.08	0.1	eng-30-00001930-n	1.0986122886681098	eng-30-00001930-n	0.4	eng-30-00023100-n	1.7798171161722536	eng-30-00023100-n	0.15586199190581818	eng-30-00023100-n	0.08607225144270927	eng-30-00001930-n
