word-1	word-2	GS_value	Similar by path	LCS path	Similar by L&C	LCS L&C	Similar by W&P	LCS W&P	Similar by R	LCS R	Similar by L	LCS L	Similar by J&C	LCS J&C
koord	glimlach	0.02702702702702703	0.14285714285714285	nld-21-d_n-28590-n	1.455287232606842	nld-21-d_n-28590-n	0.25	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
handtekening	oever	0.05405405405405406	0.1	nld-21-d_n-28590-n	1.0986122886681098	nld-21-d_n-28590-n	0.18181818181818182	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.22556595455938172	nld-21-d_n-28590-n	0.04748943934027005	nld-21-d_n-28590-n
morgen	draadje	0.05714285714285714	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
heuvel	fornuis	0.10526315789473684	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.20756398370470622	nld-21-d_n-28590-n	0.04270667106524285	nld-21-d_n-28590-n
hen	reis	0.13157894736842105	0.08333333333333333	nld-21-d_n-28590-n	0.916290731874155	nld-21-d_n-28590-n	0.15384615384615385	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2594953103608376	nld-21-d_n-28590-n	0.05713597318528344	nld-21-d_n-28590-n
inrichting	fruit	0.16216216216216217	0.16666666666666666	nld-21-d_n-28590-n	1.6094379124341003	nld-21-d_n-28590-n	0.4	nld-21-d_n-41480-n	7.558165616452798	nld-21-d_n-41480-n	0.6309291406143237	nld-21-d_n-41480-n	0.11309005902454701	nld-21-d_n-41480-n
grijns	werktuig	0.18421052631578946	0.1	nld-21-d_n-28590-n	1.0986122886681098	nld-21-d_n-28590-n	0.18181818181818182	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
wagen	tovenaar	0.23684210526315788	0.08333333333333333	nld-21-d_n-24103-n	0.916290731874155	nld-21-d_n-24103-n	0.26666666666666666	nld-21-d_n-24103-n	5.342310028252222	nld-21-d_n-24103-n	0.40494476776355215	nld-21-d_n-24103-n	0.06369119983121434	nld-21-d_n-24103-n
fruit	oven	0.358974358974359	0.14285714285714285	nld-21-d_n-28590-n	1.455287232606842	nld-21-d_n-28590-n	0.25	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2369134317497129	nld-21-d_n-28590-n	0.05062019374908365	nld-21-d_n-28590-n
oever	reis	0.4444444444444444	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2529888349307766	nld-21-d_n-28590-n	0.05521819304665715	nld-21-d_n-28590-n
